date,open,high,low,close,volume,future_return,label
2026-02-20 01:00:00,67228.91,67355.79,67150.0,67279.9,313.31598,-0.020558145894984895,Vendre
2026-02-20 02:00:00,67279.91,67347.76,67181.28,67242.03,232.09759,-0.020183804682874642,Vendre
2026-02-20 03:00:00,67242.03,67488.67,67241.24,67366.25,332.50492,-0.02931022581782416,Vendre
2026-02-20 04:00:00,67366.25,67402.23,67115.38,67264.83,362.39174,-0.026861585764804633,Vendre
2026-02-20 05:00:00,67264.83,68006.0,67203.19,67790.1,1107.38598,-0.042887383260977685,Vendre
2026-02-20 06:00:00,67790.11,67894.2,67660.12,67847.47,482.66553,-0.043468827945979414,Vendre
2026-02-20 07:00:00,67847.47,67990.0,67767.4,67825.91,459.03505,-0.04124692171472525,Vendre
2026-02-20 08:00:00,67825.91,67950.85,67747.33,67879.99,290.00035,-0.0346125566606596,Vendre
2026-02-20 09:00:00,67879.99,68230.01,67879.99,68218.85,996.7879,-0.03899420761270527,Vendre
2026-02-20 10:00:00,68218.85,68318.39,67843.42,67948.99,638.74258,-0.037500483818817654,Vendre
2026-02-20 11:00:00,67948.99,67983.91,67280.6,67318.41,1489.10389,-0.02805131612585625,Vendre
2026-02-20 12:00:00,67318.41,67594.0,67276.41,67541.77,603.15784,-0.021806209698087595,Vendre
2026-02-20 13:00:00,67541.78,67541.78,66280.2,66801.62,7078.59491,-0.008278242354002792,Attendre
2026-02-20 14:00:00,66801.62,67317.5,66532.87,67069.65,5263.48808,-0.0014380573031169404,Attendre
2026-02-20 15:00:00,67069.65,68083.98,66536.64,67582.95,3143.21056,-0.0025246012492795202,Attendre
2026-02-20 16:00:00,67582.95,67921.7,67283.24,67795.47,1312.90303,0.0074028544975055805,Attendre
2026-02-20 17:00:00,67795.48,67795.48,66952.11,67613.37,6085.1555,0.015689648363925682,Attendre
2026-02-20 18:00:00,67613.38,68000.0,67466.11,67924.21,1321.6326,0.02066803574160083,Acheter
2026-02-20 19:00:00,67924.22,68000.0,67548.85,67646.03,854.45567,0.020581104316099497,Acheter
2026-02-20 20:00:00,67646.03,67885.55,67520.3,67750.4,685.93834,0.02063884493670898,Acheter
2026-02-20 21:00:00,67750.4,67840.0,67639.29,67825.87,451.92527,0.016127327227796796,Attendre
2026-02-20 22:00:00,67825.87,68116.6,67639.31,68078.13,669.63597,0.005199907811803879,Attendre
2026-02-20 23:00:00,68078.13,68233.99,67914.0,68020.01,582.73901,-0.0004700087518364253,Attendre
2026-02-21 00:00:00,68020.0,68051.16,67787.19,67841.0,537.54494,0.007296325231055044,Attendre
2026-02-21 01:00:00,67841.0,68005.99,67841.0,67951.24,250.62697,0.004371664152118455,Attendre
2026-02-21 02:00:00,67951.25,68099.54,67913.3,68001.05,224.56497,0.0037705300138747,Attendre
2026-02-21 03:00:00,68001.04,68001.04,67534.69,67667.77,569.35853,0.008114498231580506,Attendre
2026-02-21 04:00:00,67667.77,67846.88,67593.99,67816.97,228.62441,0.011123911905825333,Attendre
2026-02-21 05:00:00,67816.98,67888.4,67799.7,67851.93,141.24714,0.008723112223926494,Attendre
2026-02-21 06:00:00,67851.93,67924.39,67750.96,67793.38,228.15051,0.005654976931375826,Attendre
2026-02-21 07:00:00,67793.39,67884.74,67749.59,67856.01,118.21011,-0.00045640761960511926,Attendre
2026-02-21 08:00:00,67856.01,68079.41,67807.3,68055.03,293.16321,-0.001484386973306809,Attendre
2026-02-21 09:00:00,68055.04,68314.54,67978.9,68147.53,599.79254,0.006484167511280375,Attendre
2026-02-21 10:00:00,68147.54,68250.0,68139.65,68215.54,212.21766,0.0012618825563794078,Attendre
2026-02-21 11:00:00,68215.55,68283.34,68084.0,68092.45,279.32431,-0.0006041785836755679,Attendre
2026-02-21 12:00:00,68092.45,68218.2,67915.0,68203.42,307.88407,-0.00046713200012551547,Attendre
2026-02-21 13:00:00,68203.42,68260.0,68106.89,68259.99,202.25945,-0.005195430002260466,Attendre
2026-02-21 14:00:00,68259.99,68644.0,68180.53,68450.01,880.51744,-0.010990064135856074,Attendre
2026-02-21 15:00:00,68450.01,68698.7,68417.0,68615.0,427.6444,-0.01796983166946003,Attendre
2026-02-21 16:00:00,68615.01,68630.76,68101.78,68322.6,658.4992,-0.024575323538624155,Vendre
2026-02-21 17:00:00,68322.61,68474.01,68200.0,68437.45,212.23015,-0.02353462906639558,Vendre
2026-02-21 18:00:00,68437.45,68644.0,68383.08,68574.0,320.28262,-0.01842491323242047,Attendre
2026-02-21 19:00:00,68573.99,68658.5,68526.81,68543.51,219.15242,-0.013922397612844655,Attendre
2026-02-21 20:00:00,68543.51,68605.63,68190.0,68211.19,369.37236,-0.011686059134872084,Attendre
2026-02-21 21:00:00,68211.19,68390.93,68183.1,68379.95,170.62817,-0.013400126791552246,Attendre
2026-02-21 22:00:00,68379.95,68437.56,67900.0,67972.0,378.72918,-0.0058803625022067485,Attendre
2026-02-21 23:00:00,67972.0,68124.54,67941.02,67975.93,202.81655,-0.007219467243772907,Attendre
2026-02-22 00:00:00,67975.93,68060.4,67809.78,67946.0,294.60551,-0.01058929149618815,Attendre
2026-02-22 01:00:00,67946.0,68171.46,67945.99,68159.31,265.09117,-0.011840642166125258,Attendre
2026-02-22 02:00:00,68159.32,68222.16,67872.76,67909.68,289.41881,-0.009469931238079628,Attendre
2026-02-22 03:00:00,67909.67,68062.03,67824.9,68041.43,265.36653,-0.0064753195222380915,Attendre
2026-02-22 04:00:00,68041.42,68086.0,67966.52,67983.5,199.56269,-0.003471577662226787,Attendre
2026-02-22 05:00:00,67983.5,68011.75,67881.81,67977.52,154.76424,-0.0037149045743357337,Attendre
2026-02-22 06:00:00,67977.52,68178.79,67972.89,68038.13,303.09242,-0.005584956553038792,Attendre
2026-02-22 07:00:00,68038.14,68095.57,67990.5,68005.3,266.37265,-0.004627580497402365,Attendre
2026-02-22 08:00:00,68005.3,68019.46,67912.02,67950.1,183.6609,-0.00035114002775567043,Attendre
2026-02-22 09:00:00,67950.11,68101.46,67948.74,68053.32,173.06503,-0.010250638763840044,Attendre
2026-02-22 10:00:00,68053.33,68153.2,68012.78,68129.56,204.92643,-0.022378685551469792,Vendre
2026-02-22 11:00:00,68129.57,68245.0,68129.56,68219.97,171.48901,-0.03067987277039254,Vendre
2026-02-22 12:00:00,68219.97,68232.4,67871.59,67928.22,372.42816,-0.029445935724504577,Vendre
2026-02-22 13:00:00,67928.23,68040.8,67571.08,67652.38,679.59468,-0.02042544549060952,Vendre
2026-02-22 14:00:00,67652.38,67682.47,67353.75,67443.89,825.57077,-0.02307547800104654,Vendre
2026-02-22 15:00:00,67443.89,67813.2,67303.5,67684.14,653.6397,-0.02347285494061098,Vendre
2026-02-22 16:00:00,67684.15,67718.13,67513.83,67632.76,299.2772,-0.03190096042213856,Vendre
2026-02-22 17:00:00,67632.76,67635.22,67190.0,67384.49,691.10182,-0.024950845513559614,Vendre
2026-02-22 18:00:00,67384.48,67461.41,67313.54,67422.62,362.52705,-0.03126339498524373,Vendre
2026-02-22 19:00:00,67422.63,67488.7,67403.37,67428.32,222.75597,-0.03019710412479514,Vendre
2026-02-22 20:00:00,67428.32,67491.96,67350.0,67401.74,272.50364,-0.026810435457601048,Vendre
2026-02-22 21:00:00,67401.74,67643.94,67401.74,67612.66,235.86316,-0.030838455401695584,Vendre
2026-02-22 22:00:00,67612.66,67751.44,67485.34,67666.16,369.66378,-0.02997318009474748,Vendre
2026-02-22 23:00:00,67666.16,67730.98,67469.58,67643.4,418.79352,-0.02618585109559822,Vendre
